Pokemon,Aerodactyl,Alakazam,Arbok,Arcanine,Articuno,Beedrill,Blastoise,Butterfree,Chansey,Charizard,Clefable,Cloyster,Dewgong,Ditto,Dodrio,Dragonite,Dugtrio,Electabuzz,Electrode,Exeggutor,Farfetchd,Fearow,Flareon,Gengar,Golbat,Golduck,Golem,Gyarados,Hitmonchan,Hitmonlee,Hypno,Jolteon,Jynx,Kabutops,Kangaskhan,Kingler,Lapras,Lickitung,Machamp,Magmar,Magneton,Marowak,Mew,Mewtwo,Moltres,Mrmime,Muk,Nidoking,Nidoqueen,Ninetales,Omastar,Onix,Parasect,Persian,Pidgeot,Pinsir,Poliwrath,Porygon,Primeape,Raichu,Rapidash,Raticate,Rhydon,Sandslash,Scyther,Seadra,Seaking,Slowbro,Snorlax,Starmie,Tangela,Tauros,Tentacruel,Vaporeon,Venomoth,Venusaur,Victreebel,Vileplume,Weezing,Wigglytuff,Zapdos
Rhydon,89,-30,64,61,-12,100,-100,40,-88,-8,-60,-100,-100,100,76,37,-60,94,100,-68,98,91,74,100,-3,-92,-76,-94,62,18,-62,100,34,-100,16,-98,-80,96,38,96,100,-68,-50,-92,72,34,50,-50,12,64,-100,48,100,-78,90,25,-92,60,62,-78,89,20,0,-86,100,-100,51,-92,60,-70,-92,-6,-100,-100,34,-100,-98,-88,100,100,96
Sandslash,-67,-78,52,60,5,62,-76,18,-50,-20,62,-88,-82,90,-68,-50,-2,70,100,-76,36,-14,82,100,-30,-64,72,-48,48,50,-60,100,42,-74,-16,40,68,96,66,62,99,62,2,-74,-8,30,100,38,52,44,22,76,84,8,-55,-60,-66,-8,40,2,66,60,86,0,-66,-76,77,-54,2,-84,-72,-22,-92,-72,10,-74,-68,-28,84,64,-62
Scyther,-58,48,76,26,48,100,-34,98,-60,46,36,-64,50,100,-60,32,62,8,-72,-50,98,44,82,-100,40,22,-96,-66,32,98,18,-88,100,-100,-26,20,-66,76,46,84,-64,41,-44,-74,56,84,0,-42,-54,-60,-100,-100,92,28,18,48,6,-70,76,-16,42,78,-100,66,0,42,62,-24,-46,-70,72,-60,-60,2,40,84,98,78,-42,42,-48
Seadra,35,-70,54,56,42,76,8,76,-98,48,32,51,6,100,-70,76,44,-70,-78,-20,40,37,74,-66,44,12,98,-68,68,32,-32,-66,-44,78,-14,-12,-90,66,48,58,-42,94,-52,-100,56,-62,50,54,76,76,68,100,86,-8,-33,10,56,75,40,-64,64,30,100,76,-42,0,24,70,-20,-98,-34,-40,-82,-54,44,-16,-45,-26,40,62,-92
Seaking,-25,-80,-44,-70,-56,83,-55,46,-50,-57,-46,-53,-31,77,-60,-70,-74,-84,-94,-51,-12,-60,-66,-94,-26,5,-53,-84,-44,-27,-59,-75,-62,-100,-58,-68,-66,-48,-51,-41,-94,-70,-78,-74,-53,-46,-54,-87,-80,-60,-98,68,31,-59,-74,-84,14,-29,-56,-76,-73,-70,-51,-77,-62,-24,0,8,-73,-60,-46,-74,-38,-15,-63,-68,-79,-49,-67,-43,-86
Slowbro,54,-6,76,72,36,68,-64,92,-100,80,-82,-33,-67,96,-18,-88,12,-88,-86,-96,28,21,66,-98,74,-24,76,-100,78,88,4,-86,22,44,50,-20,-100,78,36,84,-94,64,-16,-94,30,10,-84,20,44,68,32,100,72,-64,16,60,4,49,26,-98,66,34,92,54,24,-70,-8,0,-70,-78,-98,-14,-100,-96,-50,-92,-100,-100,-84,-86,-100
Snorlax,36,34,56,36,70,82,14,72,46,50,54,-25,-6,98,14,54,34,4,0,34,38,36,62,-80,99,38,-16,44,60,54,40,-4,42,-96,-12,52,68,86,36,44,26,32,24,-62,54,32,66,44,-2,27,-92,52,76,-14,22,14,38,78,48,22,60,56,-60,-2,46,20,73,70,0,6,80,-44,34,-10,90,56,100,90,48,62,-38
Starmie,28,-39,90,0,58,100,46,100,-62,34,24,92,63,98,12,40,-50,-38,-54,62,56,59,6,42,100,100,70,-14,100,100,31,-64,23,76,16,54,-30,78,74,96,-16,64,-17,-77,51,28,84,66,76,54,70,80,88,-12,50,86,100,55,86,-36,80,36,70,84,70,98,60,78,-6,0,10,36,98,68,100,82,100,92,86,68,-49
Tangela,-14,-66,16,-38,-35,80,35,20,-74,-50,-33,-35,17,90,-90,-66,90,-8,6,-86,-48,-58,-32,-100,-9,27,90,6,42,12,-80,-24,-40,72,-52,60,56,30,6,-90,-14,84,-34,-96,-46,-32,-76,-24,-19,-88,85,100,40,-70,-76,-78,51,-52,30,48,-26,-24,92,72,-72,34,46,98,-80,-10,0,-76,-68,-5,-36,6,70,-14,22,-2,-90
Tauros,-31,24,74,62,64,86,12,76,70,66,58,-8,18,94,34,58,38,46,-24,18,66,60,84,42,90,50,10,54,70,60,42,-22,74,-18,44,70,44,78,60,74,60,70,52,-52,64,60,76,26,42,42,-4,64,98,46,40,20,42,70,74,16,72,58,6,22,60,40,74,14,44,-36,76,0,60,-4,78,68,98,76,70,74,10
Tentacruel,41,-76,42,80,44,98,0,68,-36,18,30,79,6,100,4,88,54,-56,-56,-44,60,50,76,-52,79,80,100,-30,76,62,-24,-60,0,80,40,12,-84,72,36,64,-40,98,-34,-98,54,-30,52,60,70,82,76,100,92,-6,25,76,92,82,72,-46,28,70,100,92,60,82,38,100,-34,-98,68,-60,0,-34,46,51,72,28,54,70,-56
Vaporeon,74,-56,40,62,31,72,-20,82,-38,70,12,71,-40,98,-4,73,54,-72,-68,-26,72,38,64,-74,77,71,100,-63,36,44,20,-64,40,-36,-18,-8,-90,54,50,94,-82,100,16,-78,58,4,58,30,42,86,70,100,82,22,27,26,83,80,68,-66,58,42,100,72,-2,54,15,96,10,-68,5,4,34,0,74,1,-52,-14,64,48,-82
Venomoth,-47,-100,70,-58,-24,100,-26,-24,-98,-42,-43,11,-50,88,-62,-42,-54,-68,-76,-100,-28,-50,-58,16,69,-6,-42,-72,60,62,-100,-98,-100,-46,-50,2,-16,-22,46,-68,-74,-22,-96,-100,-18,-92,80,54,68,-98,72,58,90,-96,-70,-40,50,41,28,-68,-46,-52,-34,-10,-40,-44,63,50,-90,-100,36,-78,-46,-74,0,74,98,66,86,-22,-92
Venusaur,-79,-66,-14,-64,-55,38,27,-28,-42,-12,-46,-16,-35,88,-72,-48,50,-44,-42,-60,-34,-44,-56,-74,-29,28,98,-40,14,2,-76,-36,-72,82,-70,96,46,-42,-26,-70,2,98,-62,-82,-46,-80,-8,-30,-58,-80,100,98,62,-82,-64,-74,58,-58,-56,-18,-30,-16,100,74,-84,16,68,92,-56,-82,-6,-68,-51,-1,-74,0,96,0,44,24,-56
Victreebel,15,-100,-100,-100,-100,-92,50,-52,86,-86,-21,47,65,96,-100,-100,50,-20,42,48,-82,-100,64,-70,-66,56,98,-34,26,28,-100,-46,-100,80,-100,58,80,48,12,-86,42,100,-100,-100,-96,-100,-74,-10,-100,-92,99,78,90,-86,-100,-100,71,35,-30,48,-98,8,98,68,-98,45,79,100,-100,-100,-70,-98,-72,52,-98,-96,0,58,4,52,-100
Vileplume,-20,-86,-36,-44,-19,-48,17,-44,-53,-42,-39,-43,26,76,-84,-30,-4,-24,34,-100,-70,-71,-46,-98,16,37,92,-24,8,-2,-96,2,-86,64,-64,26,36,-8,-46,-70,14,66,-58,-98,-24,-86,12,-4,-76,-78,55,98,10,-66,-76,-86,43,-56,18,46,-48,-46,88,28,-78,26,49,100,-90,-92,14,-76,-28,14,-66,0,-58,0,48,20,-84
Weezing,59,-76,-44,-44,51,72,-4,-56,-74,-42,-36,37,-48,82,12,-46,-84,-84,-84,-80,68,36,-28,-58,89,-12,-98,52,30,30,-78,-86,-76,50,-54,48,46,30,-56,-76,-82,-76,-84,-90,54,-98,24,-88,-82,-67,74,-52,66,18,39,-26,10,51,26,-86,-2,6,-100,-84,42,-40,67,84,-48,-86,-22,-70,-54,-64,-86,-44,-4,-48,0,-6,-80
Wigglytuff,19,-66,-4,-32,32,58,-42,18,-28,24,-8,-6,-72,72,-58,-4,-36,-44,-54,-72,44,29,-42,-96,33,-18,-98,48,-38,8,-54,-38,-40,-72,-64,44,-6,22,-50,-50,-64,-32,-62,-82,-2,-26,-20,10,-50,-39,-54,-84,70,4,-3,-60,-24,36,-14,-50,-4,-66,-100,-64,-42,-62,43,86,-62,-68,2,-74,-70,-48,22,-24,-52,-20,6,0,-52
Zapdos,54,-24,66,72,72,72,68,100,67,64,71,80,92,92,58,80,-22,-36,-44,38,100,75,84,26,100,90,-92,100,86,90,36,-50,68,86,44,100,82,72,66,46,-32,53,22,-54,74,54,77,40,38,38,86,-66,100,40,46,78,90,73,86,-16,38,74,-96,62,48,92,86,100,38,49,90,-10,56,82,92,56,100,84,80,52,0
